id	name
249	Haines, D.
250	Kandel, e.a.
251	Bear, e.a.
252	Blumenfeld, H.
253	Diamond, e.a.
254	Kiernan, & R.
255	Martín, J.H.
256	Ojeda, e.I.
257	Puelles, L. e.
258	Snell, R.
259	Haines, D.
260	Schünke, e. a.
261	Brunton, e.a.
262	Laurence Brunton. Bruce Chabner
263	Florez, e.a.
264	Bhat, e.a.
265	Golan, e.a.
266	Loose., R. Y.
267	Lorenzo, e.a.
268	Lorenzo, e.a.
269	Lüllmann, e.a.
270	Neal, M.
271	Page, B.
272	Preston, C.
273	Rang, e.a.
274	Richards, e.a.
275	Rodríguez, CR.
276	Trevor, e.a.
277	Katzung, Bertram,Trevor
278	Whalen, e.a.
279	Abbas, Abul K., Lichtman, Andrew H.H., Pillai, Shiv.
280	Karen C. Carroll et al
281	Kenneth J. Ryan
282	John E. Bennett, Raphael Dolin, Martín J. Blaser
283	Murray Patrick R., Rosenthal Ken S., P Faller Michael A.
284	Roberto Arenas Guzmán
285	Doan T., Melvold R., Viselli S., Waltenbaugh C.
286	Male D., Brrostoff J.,Roth D., Roitt I.
287	Méndez Lj, López R., Hernández F.
288	Owen J., Punt J., Stranford Sa.
289	Pavón Romero L., Jiménez Martinez Mc, Garcés Me
290	Delves, Martín, Burton, Roitt
291	Tay J., Gutierrez M., Molina J., López R., Manjarrez M.
292	Streiner, David L.
293	Alfredo de Jesús Celis de la Rosa
294	Cobo, Erik
295	Dawson, Gail F.
296	Norman, G. S.
297	Pagano, M.G.
298	Taucher, E.
299	Black & Andreasen
300	Ricardo Capponi Martínez
301	Carlat D.
302	Casey &Kelly
303	Gelder et al.
304	Eguiluz Uruchurtu I y Segarra Echebarría R.
305	Ganti & Kaufman
306	Owen et al.
307	Oyebode, Femi
308	Semple & Smyth
309	Shea, Shawn Christopher
310	Valdivia, Mario
311	Vallejo Ruiloba J.
312	VVAA
313	VVAA
314	Pérez, A.J.
315	Hammer & M.
316	Kasper, e.a.
317	Laso, F.
318	López., R.
319	Silbernal, &.L.
320	Walker, e.a.
321	Goljan, E.
322	Kumar, e.a.
323	Kumar, e.a.
324	Reissner, R.
325	Schneider, Arthur-Szanto, Philip
326	Stryer & Rubin
327	Bickley
328	Goic et al.
329	Mandell, J
330	Argente & Alvarez
331	Cardellach, L. et al.
332	Casado, V. et al.
333	Douglas et al.
334	Hampton, J.
335	Hampton, J.
336	Herring, W.
337	Houghton & Gray
338	Kasper, e.a.
339	Kassirer et al.
340	Laposata, M.
341	Laso FJ.
342	Leblond et al.
343	McGee S.
344	Pagana et al.
345	Perez Arellano JL.
346	Valtueña, JMP
347	Rozman & Cardellach, L.
348	Smith & Farrell
349	Stryer & Rubin
350	Surós & Surós
351	Swartz, MH
352	Brunton, e.a.
353	Brunton, e.a.
354	Florez, e.a.
355	Bhat, e.a.
356	Golan, e.a.
357	Loose., R. Y.
358	Lorenzo, e.a.
359	Lorenzo, e.a.
360	Lüllmann, e.a.
361	Neal, M.
362	Page, B.
363	Preston, C.
364	Rang, e.a.
