asignatura	semestre	detalle	tipoBibliografia	copias	id	disponibilidad	carrera	
Administración y Gestión en la Empresa 	0	Jones, G. R., George, J. M., & ProQuest.|2010|Administración contemporánea|6|Distrito Federal: McGraw-Hill lnteramericana	OBLIGATORIA	5	24714	1	admin	
Administración y Gestión en la Empresa 	0	Robbins, S. P., & Coulter, M.|2006|Administración|México: Pearson	OBLIGATORIA	2	10709	1	admin	
Administración y Gestión en la Empresa 	0	Chiavenato, l., Sapiro, A., & Mascaró, S. P.|2011|Planeacián estratégica: Fundamentos y aplicaciones|México: McGraw-Hill/lnteramericana Editores.	COMPLEMENTARIA	1	24717	1	admin	
Administración y Gestión en la Empresa 	0	Chiavenato, l., Guzmán, B. M. P., & Mascaró, S. P.|2009|Comportamiento organizacional: La dinámica del éxito en Las organizaciones|México: McGraw	COMPLEMENTARIA	5	28645	1	admin	
Administración y Gestión en la Empresa 	0	Chiavenato, l.|2002|Administración: Teoría. proceso y práctica|Bogot: McGraw-Hill.	COMPLEMENTARIA	3	22677	1	admin	
Gestión Financiera	0	Brigharn, E., & Houston, J.|2001|Fundamentos de administración financiera|México: Continental	OBLIGATORIA	4	21209	1	admin	
Gestión Financiera	0	Besley, S., & Brigham, E.|2001|Fundamentos de administración financiera|México: McGraw-Hill	OBLIGATORIA	1	23697	1	admin	
Gestión Financiera	0	Van Horne, J.|1997|Administración Financiera|México: PEARSON	OBLIGATORIA	2	10874	1	admin	
Gestión Financiera	0	Torres Gabriel|2001|Estados Financieros|Chile: Cono Sur	COMPLEMENTARIA	2	560	1	admin	
Normativa Laboral de Personas y Empresas	0	Carlos A. González M,|1991|Nuevo código del trabajo|Santiago, Chile, Publiley,	OBLIGATORIA	3	3327	1	admin	
Costos y Presupuestos	0	Humberto Varas C|2018|Fundamentos de la Contabilidad de Costos|0	OBLIGATORIA	2	28132	1	admin	
Taller II Aplicaciones Tics	0	Boggino, N.|2009|Cómo elaborar mapas conceptuales en la escuela: Aprendizaje significatio y globalizado|Rosario: Horno Sapiens	OBLIGATORIA	5	21018	1	admin	
Taller II Aplicaciones Tics	0	Novak, J. D., & González, C.|1998|Conocimiento y aprendizaje: Los mapas conceptuales como herramientas facilitadoras para escuelas y empresas|Madrid: Editorial Alianza	OBLIGATORIA	1	21570	1	admin	
Taller II Aplicaciones Tics	0	Sambrano, J., & Steiner, A.|2000|Mapas mentales: Agenda para el éxito|México, D.F: Alfaomega	OBLIGATORIA	2	22624	1	admin	
Taller II Aplicaciones Tics	0	Colmenar, S. A.|2007|Gestión de proyectos con Microsoft Project 2007|México: A lfaornega	COMPLEMENTARIA	1	22930	1	admin	
Inglés II	0	Hill, H.|2016|Diccionario Cambridge Pocket|10|Cambridge University Press	COMPLEMENTARIA	20	28320	1	admin	
Inglés II	0	Marks, J.|2007|English Pronunciation in Use Elementary|Cambridge University Press	COMPLEMENTARIA	2	28421	1	admin	
Inglés II	0	McCarthy, M., McCarten, J., & Sandiford, H.|2014|Touchstone 1|2|Cambridge University Press	COMPLEMENTARIA	1	28297	1	admin	
Inglés II	0	Murphy, R.|2015|English Grammar in Use Elementary|Cambridge University Press	COMPLEMENTARIA	2	26240	1	admin	
Inglés II	0	Wilson, K.|2016|Smart Choice 1|3|Oxford University Press	COMPLEMENTARIA	3	27243	1	admin	
Inglés II	0	Wilson, K., & Healy, T.|2016|Smart Choice Starter|3|Oxford University Press	COMPLEMENTARIA	3	27243	1	admin	
Innovación y Emprendimiento	0	Femández, S. E.|2010|Estrategia de innovación|Madrid: Paraninfo.	OBLIGATORIA	4	19246	1	admin	
Innovación y Emprendimiento	0	Koontz, H., Weihrich, H., Sánchez, S. G. A., & Gómez, M. J.|2013|Elementos de administración: Un enfoque internacional de innovación|0	OBLIGATORIA	10	27178	1	admin	
Innovación y Emprendimiento	0	Yarela, R.|2008|Innovación empresarial: Arte y ciencia en la creación de empresas|Bogotá, D.C. Colombia: Pearson Educación	OBLIGATORIA	3	22110	1	admin	
Innovación y Emprendimiento	0	Cohen, K. D., & Asín, L. E.|2009|Tecnologías de información en los negocios|México: McGraw-Hill	OBLIGATORIA	1	22735	1	admin	
Innovación y Emprendimiento	0	Kelley, T., & Littman, J.|2010|Las Diez caras de la innovación: Estrategias para una creatividad excelente|Barcelona: Paidós	COMPLEMENTARIA	2	247441	1	admin	
Innovación y Emprendimiento	0	Lolas, F.|2006|Ética e innovación tecnológica. Chile: Centro lnterdisciplinario de Estudios en Bioética (CIEB), Vicerrectoría de Investigación y Desarrollo|Universidad de Chile	COMPLEMENTARIA	1	19909	1	admin	
Innovación y Emprendimiento	0	Schilling, M. A.|2008|Dirección estratégica de la innovación tecnológica|Madrid: McGraw-Hill	COMPLEMENTARIA	1	21941	1	admin	
Gestión del Capital Humano	0	les, M. A.|2006|Dirección estratégica de recursos humanos: Gesnán por competencias|Buenos Aires: Granica	OBLIGATORIA	1	22638	1	admin	
Gestión del Capital Humano	0	Arias, G. F., & Heredia, E. V.|2015|Administración de recursos humanos: Para el alto desempeño|México, D.F: Trillas	OBLIGATORIA	1	20961	1	admin	
Gestión del Capital Humano	0	Byars, L. L., & Rue, L. W.|1996|Gestión de recursos humanos|Madrid: lrwin.	OBLIGATORIA	2	5331	1	admin	
Gestión del Capital Humano	0	Chiavenato l.|2000|Administración de Recursos Humanos|7|Colombia: Ed. McGraw Hill.	OBLIGATORIA	5	814	1	admin	
Gestión del Capital Humano	0	Chiavenato l.|2019|Administración de Recursos Humanos: El Capital humano de las organizaciones|1|México, McGraw Hill.	OBLIGATORIA	5	24716	1	admin	
Gestión del Capital Humano	0	Dressler G.|1996|Administración de Personal|6|México: Ed. Prentice.	OBLIGATORIA	1	10866	1	admin	
Formulación y Evaluación de Proyectos	0	Sapag, N.|2011|Proyectos de inversión: Formulación y evaluación|Chile: PEARSON.	OBLIGATORIA	4	24740	1	admin	
Formulación y Evaluación de Proyectos	0	Sapag, N.|2003|Preparación y Evaluación de Proyectos|Chile: McGraw-Hill I nterarnericana.	OBLIGATORIA	11	18663	1	admin	
Formulación y Evaluación de Proyectos	0	Ocarnpo, S. J. E.|2007|Costos y evaluación de proyectos|0	COMPLEMENTARIA	5	22159	1	admin	
Formulación y Evaluación de Proyectos	0	Baca, G.|2006|Evaluación de proyectos|México: McGraw-1-lill.	COMPLEMENTARIA	2	22553	1	admin	
Taller 111 Empresas 	0	Maximiano, A. C. A., & Chávez, S. J. L.|2008|Administración para emprendedores: Fundamentos para la creación y gestión de nuevos negocios|México: Pearson Educación.	OBLIGATORIA	2	24725	1	admin	
Taller 111 Empresas	0	Kotler, P., Armstrong, G., & Cámara, l. D.|2004|Marketing|1|Ciudad de México: Pearson Educación	OBLIGATORIA	11	18650	1	admin	
Taller 111 Empresas	0	Dessler, G., Varela, J. R., Pineda, A. L. E., & Campos, O. V.|2011|Administración de recursos humanos: Enfoque latinoamericano|0	OBLIGATORIA	1	0	1	admin	
Taller 111 Empresas	0	Varela, R.|2008|Innovación empresarial: Arte y ciencia en la creación de empresas|Bogotá, D.C. Colombia: Pearson Educación	COMPLEMENTARIA	3	22110	1	admin	
Taller 111 Empresas	0	Costa, M., & López, M. E.|2009|Los secretos de la dirección: Liderar y fortalecer personas y equipos|Madrid: Pirámide	COMPLEMENTARIA	2	22151	1	admin	
Taller 111 Empresas	0	Sapag, C. N.|2011|Proyectos de inversión formulación y evaluación|México: Prentice-Hall	COMPLEMENTARIA	4	24740	1	admin	
Proyecto de Titulación	0	Muñoz, R. C.|2011|Cómo elaborar y asesorar una investigación de tesis|2|Naucalpan de Juárez: Pearson Educación	OBLIGATORIA	1	24839	1	admin	
Proyecto de Titulación	0	Ñaupas, P. H., Yaldivia, D.M. R., Palacios, Y. J. J., & Romero, D. H. E.|2018|Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis|0	COMPLEMENTARIA	9	27861	1	admin	
Proyecto de Titulación	0	Hernández, S. R., & Fernández, C. C. B. L. M. P.|2010|Metodología de la investigación|0	COMPLEMENTARIA	18	25115	1	admin	
Practica Laboral	0	Barbera, E.|2008|El estilo e-portafolio|Barcelona: UOC.	OBLIGATORIA	1	25975	1	admin	
Practica Laboral	0	Klenowski, V.|2014|Desarrollo de portafolios para el aprendizaje y la evaluación|Madrid: Narcea Edición.	OBLIGATORIA	1	22639	1	admin	
Practica Laboral	0	Valles, M. M. S.|2009|Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional|Madrid: Síntesis.	COMPLEMENTARIA	8	14923	1	admin	
Practica Laboral	0	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R.|2005|Comunicación organizacional: Principios y prácticas para negocios y profesiones|México: McGraw-Hill	COMPLEMENTARIA	2	20977	1	admin	
Comprensión Oral y Escrita	Primero	Fournier, M.C.|2004|Comunicación verbal|México: Thomso.	OBLIGATORIA	5	20870	1	asistenteGeologia	
Comprensión Oral y Escrita	Primero	Reyzábal, M. V., & Casanova, M.|2001|La comunicación oral y su didáctica|Madrid: La Muralla.	OBLIGATORIA	10	12042	1	asistenteGeologia	
Comprensión Oral y Escrita	Primero	Vallés, . A.|1996|Comprensión lectora 1: Programa de técnicas cognitivas y metacoqnitivos para comprender textos escritos: Educacion Primaria, 1er y 2o. ciclos|Madrid; Escuela Española	OBLIGATORIA	2	11626	1	asistenteGeologia	
Comprensión Oral y Escrita	Primero	Verderber, R. F.|1999|Comunicación oral efectiva|México: International Thomson	OBLIGATORIA	3	22706	1	asistenteGeologia	
Matemática Aplicada	PRIMERO	Britton, J. R., & Bello, I.|1986|Algebra y trigonometría contemporáneas|0	OBLIGATORIA	3	8916	1	asistenteGeologia	
Matemática Aplicada	PRIMERO	• Swokowski, E. W., & Trigueros, M.|1989|Álgebra y trigonometría con geometría analítica|México: Grupo Edit. lberoamérica.	OBLIGATORIA	8	2567	1	asistenteGeologia	
Matemática Aplicada	PRIMERO	Miller, C. D., Heeren, V. E., & Hornsby, E. J.|2006|Matemáticas: Razonamiento y aplicaciones|México: Pearson.	COMPLEMENTARIA	2	22704	1	asistenteGeologia	
Gestión de La Informática	PRIMERO	jelen, B.|2010|Excel Macros y VBA|Madrid: Anaya Multimedia	OBLIGATORIA	1	22931	1	asistenteGeologia	
Gestión de La Informática	PRIMERO	Menchén, P. A.|2009|Tablas dinámicas en Excel 2007|México: Alfaomega.	OBLIGATORIA	3	22925	1	asistenteGeologia	
Gestión de La Informática	PRIMERO	Hawley, D., & Hawley, R.|2004|Excel: Los mejores trucos|Madrid: Anaya Multimedia.	OBLIGATORIA	1	20743	1	asistenteGeologia	
Gestión de La Informática	PRIMERO	Virginia Caccuri|2009|101 secretos de Excel: la mejor guía de trucos y consejos|Argentina: Grami.	OBLIGATORIA	2	22697	1	asistenteGeologia	
Gestión de La Informática	PRIMERO	Frye, C., & Scott, P. P.|2007|Microsoft O/fice Excel 2003 paso a paso|Madrid.	OBLIGATORIA	3	19430	1	asistenteGeologia	
Gestión de La Informática	PRIMERO	Online Training Solutions, Inc.|2004|Microsoft O/fice Word 2003 paso a paso|Madrid: McGraw-Hill, Interamericana de España.	OBLIGATORIA	3	22688	1	asistenteGeologia	
