PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022					
					
CARRERA:	TECNICO UNIVERSITARIO EN AUTOMATIZACIÓN INDUSTRIAL				
					
					
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Comprensión Oral y Escrita 	Fournier, M.C. (2004). Comunicación verbal. México: Thomson.	OBLIGATORIA	5	20870	1
PLC 	equipos e instalaciones electrotécnicas. Madrid: Paraninfo Cengage Learning.	NO INDICA 	0		0
Inglés II 	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Automatización Industrial II 	Creus Solé, A. (2011 ). Instrumentación industrial: Antonio Creus Solé (8a ed. --.), Barcelona: Marcombo	NO INDICA 	20	12892-18661-24601	1
Automatización Industrial I 	Creus Solé, A. (2011 ). Instrumentación industrial: Antonio Creus Solé (8a ed. -- .). Barcelona: Marcombo.	OBLIGATORIA	20	12892-18661-24601	1
Taller II Instrumentación Industrial 	Creus Solé, A. (2011 ). Instrumentación industrial: Antonio Creus Solé (8a ed. -- .). Barcelona: Marcombo.	OBLIGATORIA	20	12892-18661-24601	1
Máquinas Eléctricas	Chapman, S. J., & Robina, C. C. (2005). Máquinas eléctricas. México: McGraw-H ill/lnteramericana.	OBLIGATORIA	5	18954	1
Matemática Aplicada 	Britton, J. R., & Bello, l. (January 01, 1986). Algebra y trigonometría contemporáneas.	OBLIGATORIA	3	8916	1
Electrotecnia 	"Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"", México, Pearson Educación."	OBLIGATORIA	18	22778-23141	1
Taller I Instrumentos de Medida 	"Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"", México, Pearson Educación."	OBLIGATORIA	18	22778-23141	1
Electrónica Industrial 	Boylestad, ROBERT L. (2009). ELECTRONICA: Teoría de circuitos y dispositivos electrónicos. México: PEARSON.	OBLIGATORIA	10	22558-22559	1
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0		0
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0		0
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	3	20977	1
