PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO EN ADMINISTRACIÓN DE EMPRESAS					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Inglés I 		• Hill, H. (2016). Diccionario Cambridge Pocket (lQil ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0	28320	0
Inglés I 		• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	28421	0
Inglés I 		"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0	28297	0
Inglés I 		Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	27054	0
Inglés I 		• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Inglés I 		• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Administración y Gestión en la Empresa 		Koontz, H., & Weihrich, H. (2007). Elementos de administración: Un enfoque internacional. México: McGraw-Hill.	OBLIGATORIA	0	22160	0
Administración y Gestión en la Empresa 		• Chiavenato, l., Mascaró, S. P., & In Mares, C. J. (2014). Introducción a La teoría general de la administración. México: McGraw-Hill Interamericana Editores.	OBLIGATORIA	0	2828	0
Administración y Gestión en la Empresa 		• Hill. Chiavenato, l. (2004). Introducion a teoría general da administracdo. Rio de .Janeiro: Elsevier.	OBLIGATORIA	0		0
Administración y Gestión en la Empresa 		• Jones, G. R., George, J. M., & ProQuest. (201 O). Administración contemporánea (6a. ed.). Distrito Federal: McGraw-Hill lnteramericana.	OBLIGATORIA	0	24714	0
Administración y Gestión en la Empresa 		• Robbins, S. P., & Coulter, M. (2006). Administración. México: Pearson.	OBLIGATORIA	0	10709	0
Administración y Gestión en la Empresa 		• Chiavenato, l., Sapiro, A., & Mascaró, S. P. (2011 ). Planeacián estratégica: Fundamentos y aplicaciones. México: McGraw-Hill/lnteramericana Editores.	COMPLEMENTARIA	0	24717	0
Administración y Gestión en la Empresa 		• Chiavenato, l., Guzmán, B. M. P., & Mascaró, S. P. (2009). Comportamiento organizacional: La dinámica del éxito en Las organizaciones. México: McGraw	COMPLEMENTARIA	5	28645	1
Administración y Gestión en la Empresa 		• Chiavenato, l. (2002). Administracin: Teora. proceso y prctica, Bogot: McGraw-Hill.	COMPLEMENTARIA	0	22677	0
Gestión Financiera 		Brigharn, E., & Houston, J. (2001 ). Fundamentos de adrn in istración financiera. México: Continental.	OBLIGATORIA	0	21209	0
Gestión Financiera 		• Besley, S., & Brigham, E. (2001 ). Fundamentos de administración financiera. México: McGraw-Hill.	OBLIGATORIA	0	23697	0
Gestión Financiera 		• Van Horne, J. (1997). Administración Financiera. México: PEARSON.	OBLIGATORIA	0	10874	0
Gestión Financiera 		• Torres Gabriel (2001 ). Estados Financieros. Chile: Cono Sur.	COMPLEMENTARIA	0	560	0
Normativa Laboral de Personas y Empresas 		Carlos A. González M, (1991), Nuevo código del trabajo, Santiago, Chile, Publiley,	OBLIGATORIA	0	3327	0
Costos y Presupuestos 		Humberto Varas C, (2018); Fundamentos de la Contabilidad de Costos 	OBLIGATORIA	0	28132	0
Taller 11 Aplicaciones Tics 		• Boggino, N. (2009). Cómo elaborar mapas conceptuales en la escuela: Aprendizaje significatio y globalizado. Rosario: Horno Sapiens.	OBLIGATORIA	0	21018	0
Taller 11 Aplicaciones Tics 		"• Novak, J. D., & González, C. ( 1998). Conocimiento y aprendizaje: Los mapas conceptuales como herramientas facilitadoras para escuelas y empresas. Madrid: Editorial Alianza."	OBLIGATORIA	0	21570	0
Taller 11 Aplicaciones Tics 		• Sambrano, J., & Steiner, A. (2000). Mapas mentales: Agenda para el éxito. México, D.F: Alfaomega.	OBLIGATORIA	0	22624	0
