RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura	
Inglés II 	• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	26240
Inglés II 	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243
Inglés II 	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243
Innovación y Emprendimiento	Femández, S. E. (201 O). Estrategia de innovación. Madrid: Paraninfo.	OBLIGATORIA	0	19246
Innovación y Emprendimiento	• Koontz, H., Weihrich, H., Sánchez, S. G. A., & Gómez, M. J. (2013). Elementos de administración: Un enfoque internacional de innovación.	OBLIGATORIA	0	27178
Innovación y Emprendimiento	• Yarela, R. (2008). Innovación empresarial: Arte y ciencia en la creación de empresas. Bogotá, D.C., Colombia: Pearson Educación.	OBLIGATORIA	0	22110
Innovación y Emprendimiento	• Cohen, K. D., & Asín, L. E. (2009). Tecnologías de información en los negocios. México: McGraw-Hill	OBLIGATORIA	0	22735
Innovación y Emprendimiento	• Kelley, T., & Littman, J. (201 O). Las Diez caras de la innovación: Estrategias para una creatividad excelente. Barcelona: Paidós.	COMPLEMENTARIA	0	247441
Innovación y Emprendimiento	• Lolas, F. (2006). Ética e innovación tecnológica. Chile: Centro lnterdisciplinario de Estudios en Bioética (CIEB), Yicerrectoría de Investigación y Desarrollo, Universidad de Chile.	COMPLEMENTARIA	0	19909
Innovación y Emprendimiento	• Schilling, M. A. (2008). Dirección estratégica de la innovación tecnológica. Madrid: McGraw-Hill.	COMPLEMENTARIA	0	21941
Gestión del Capital Humano 	Alles, M. A. (2006). Dirección estratégica de recursos humanos: Gesnán por competencias. Buenos Aires: Granica.	OBLIGATORIA	0	22638
Gestión del Capital Humano 	• Arias, G. F., & Heredia, E. V.(2015). Administración de recursos humanos: Para el alto desempeño. México, D.F: Trillas.	OBLIGATORIA	0	20961
Gestión del Capital Humano 	• Byars, L. L., & Rue, L. W. ( 1996). Gestión de recursos humanos. Madrid: lrwin.	OBLIGATORIA	0	5331
Gestión del Capital Humano 	• Chiavenato l. (2000) , Administración de Recursos Humanos (7a. ed.). Colombia: Ed. McGraw Hill.	OBLIGATORIA	0	814
Gestión del Capital Humano 	• Chiavenato l. (2019), Administración de Recursos Humanos: El Capital humano de las organizaciones (1 Oa. Ed.). México, McGraw Hill.	OBLIGATORIA	0	24716
