PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022								
								
CARRERA:	Técnico universitario en Asistencia Judicial							
								
								
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	N° DE BIB	CANTIDAD COPIA EN SISTEMA	CANTIDAD DE COPIAS EN VALLENAR	Disponibilidad 	
TEORÍA DEL DERECHO CONSTITUCIONAL Y ADMINISTRATIVO	110	Nogueira, H. (1990). Introducción a la Política y Teoría del Estado. Santiago de Chile, Universidad Nacional Andrés Bello.	Básica		0	0	0	
TEORÍA DEL DERECHO CONSTITUCIONAL Y ADMINISTRATIVO	110	Guzmán, J. (1996). Apuntes de clases. Edición Gonzalo Rojas Sánchez y otros. Santiago de Chile, Ediciones Universidad Católica de Chile.	Complementaria		0	0	0	
FUNDAMENTOS A LA INTRODUCCIÓN AL DERECHO	110	Atienza, M. (1994). Introducción al Derecho. 5ª ED. Barcelona.	Básica	1899	1	0	0	
FUNDAMENTOS A LA INTRODUCCIÓN AL DERECHO	110	Hubner, J. (1984). Introducción al derecho. 5ª ED. Editorial Jurídica de Chile, Santiago de Chile	Básica	1630	2	0	0	
FUNDAMENTOS A LA INTRODUCCIÓN AL DERECHO	110	Vinogradoff, P. (1994). Introducción al derecho. México fondo de cultura económica.	Básica	5253	3	0	0	
FUNDAMENTOS A LA INTRODUCCIÓN AL DERECHO	110	Squella, A. (2000). Introducción al Derecho. Editorial. Jurídica de Chile, Santiago de Chile	Básica	14103	15	0	0	
FUNDAMENTOS A LA INTRODUCCIÓN AL DERECHO	110	Pacheco, M. (2015). Teoría del derecho. 5ª ED actualizada, Editorial jurídica de Chile.	Complementaria	1455	14	0	0	
ESTRUCTURA Y FUNCIONAMIENTO DEL PODER JUDICIAL	110	Meléndez, J. (1997). Derecho Procesal Chileno. 2° Edición, Santiago de Chile.	#NAME?		0	0	0	
ESTRUCTURA Y FUNCIONAMIENTO DEL PODER JUDICIAL	110	Rodríguez, S. (1993). Derecho Procesal Funcional, El proceso judicial, Teoría del proceso. 1° Edición, Santiago de Chile.	Básica	3843	4	0	0	
ESTRUCTURA Y FUNCIONAMIENTO DEL PODER JUDICIAL	110	Benavente, D. (1997). Derecho Procesal, juicio ordinario y recursos procesales. 4° Edición revisada, Santiago Chile, editorial Jurídica de Chile.	Básica	8655	24	0	0	
ESTRUCTURA Y FUNCIONAMIENTO DEL PODER JUDICIAL	110	Pérez, A. (2013). Derecho procesal civil comparado: Aporte para las reformas a la justicia en Latinoamérica. Santiago de Chile Legal Publishing.	Complementaria	24923	2	0	0	
TALLER I REDACCIÓN Y TERMINOLOGÍA JURÍDICA	110	García, N. (1978). Redacción oficial. 1ª.edición, Santiago Chile.	Básica	839	1	0	0	
TALLER I REDACCIÓN Y TERMINOLOGÍA JURÍDICA	110	Ortega W. (1989). Redacción y composición. México.	Básica	1060	2	0	0	
TALLER I REDACCIÓN Y TERMINOLOGÍA JURÍDICA	110	Misari, D. (2013). Ponencia El ABC del Derecho Latín Jurídico y Teoría General del Derecho.	Complementaria		0	0	0	
TALLER I REDACCIÓN Y TERMINOLOGÍA JURÍDICA	110	Silva, D. C. (2017). Manual Auto Instructivo TALLER “REDACCION JURIDICA”. Perú: Academia de la Magistratura	Complementaria		0	0	0	
INGLÉS I	120	UDA English Center. (2018). Material propio elaborado por académicos.	Básica		0	0	0	
INGLÉS I	120	Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	Complementaria	28320	20	0	0	
INGLÉS I	120	Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	Complementaria	28421	2	0	0	
INGLÉS I	120	McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.). Cambridge University Press.	Complementaria	28297	1	0	0	
INGLÉS I	120	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	Complementaria	26240-10050-18172	22	0	0	
INGLÉS I	120	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	Complementaria	27243	3	0	0	
INGLÉS I	120	Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	Complementaria	27242	3	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Ducci, C. (1995). Derecho Civil. 4ª edición, Santiago Chile, Editorial Jurídica de Chile.	Básica	2103	11	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Navarro, R. (2011). Derecho Civil Patrimonial. Tomo I. Santiago de Chile Editorial Jurídica de Chile.	Básica	23948	1	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Navarro, R. (2011). Derecho Civil Patrimonial, Derecho de los bienes y de las obligaciones en general. Tomo II. Santiago de Chile, Editorial Jurídica de Chile.	Básica	23740	1	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Lecaros, R. (1997). El acto jurídico en el Código Civil Chileno. Santiago, Chile : Universidad Católica de Chile.	Básica	13447	1	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	López, j. (1998). Los contratos. Parte General, Tomos I y II. Editorial Jurídica de Chile.	Básica	7925-27123-24637	16	1	1	
FUNDAMENTOS DEL DERECHO PENAL	120	Ducci, C. (1995). Derecho Civil. 4ª edición, Santiago Chile, Editorial Jurídica de Chile.	Básica	2103	11	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Navarro, R. (2011). Derecho Civil Patrimonial. Tomo I. Santiago de Chile Editorial Jurídica de Chile.	Básica	23948	1	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Navarro, R. (2011). Derecho Civil Patrimonial, Derecho de los bienes y de las obligaciones en general. Tomo II. Santiago de Chile, Editorial Jurídica de Chile.	Básica	23740	1	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Lecaros, R. (1997). El acto jurídico en el Código Civil Chileno. Santiago, Chile: Universidad Católica de Chile.	Básica	13447	1	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	López, j. (1998). Los contratos. Parte General, Tomos I y II. Editorial Jurídica de Chile.	Básica	7925-27123-24637	16	0	0	
FUNDAMENTOS DEL DERECHO PENAL	120	Bermúdez, J. (2011). Derecho Administrativo General. Santiago, Chile: Abeledo Perrot. Thomson Reuters	Complementaria	23933	6	0	0	
FUNDAMENTOS DEL DERECHO CIVIL	120	Ducci, C. (1995). Derecho Civil. 4ª edición, Santiago Chile, Editorial Jurídica de Chile.	Básica	2103	11	0	0	
FUNDAMENTOS DEL DERECHO CIVIL	120	Navarro, R. (2011). Derecho Civil Patrimonial. Tomo I. Santiago de Chile Editorial Jurídica de Chile.	Básica	23948	1	0	0	
FUNDAMENTOS DEL DERECHO CIVIL	120	Navarro, R. (2011). Derecho Civil Patrimonial, Derecho de los bienes y de las obligaciones en general. Tomo II. Santiago de Chile, Editorial Jurídica de Chile.	Básica	23740	1	0	0	
FUNDAMENTOS DEL DERECHO CIVIL	120	Lecaros, R. (1997). El acto jurídico en el Código Civil Chileno. Santiago, Chile : Universidad Católica de Chile	Básica	13447	1	0	0	
FUNDAMENTOS DEL DERECHO CIVIL	120	López, j. (1998). Los contratos. Parte General, Tomos I y II. Editorial Jurídica de Chile.	Básica	7925-27123-24637	16	0	0	
FUNDAMENTOS DEL DERECHO CIVIL	120	Bermúdez, J. (2011). Derecho Administrativo General. Santiago, Chile: Abeledo Perrot. Thomson Reuters	Complementaria	23933	6	0	0	
LEGISLACIÓN LABORAL	120	Dirección del Trabajo. (2016). Código del Trabajo.	Básica	17117-7842	4	0	0	
LEGISLACIÓN LABORAL	120	Lizama, L. (2005). Derecho del Trabajo. Lexisnexis. Santiago de Chile	Básica	21592	10	0	0	
LEGISLACIÓN LABORAL	120	Humeres, H. (2009). Derecho del Trabajo y la seguridad social. Santiago de Chile: Ed. Jurídica de Chile.	Básica	7303-25328	14	0	0	
LEGISLACIÓN LABORAL	120	Gaete, A. (1943). Derecho Del Trabajo. Santiago de Chile, Editorial ZigZag.	Complementaria	20545	1	0	0	
PROCEDIMIENTO NOTARIAL	120	Vidal, I. (1997). Derecho Notarial Chileno. 1ª edición, Santiago de Chile.	Básica	2586	2	0	0	
PROCEDIMIENTO NOTARIAL	120	Alessandri, A. (1943), De la Responsabilidad Extracontractual en el Derecho civil chileno. Santiago: Editorial Universitaria.	Básica	20201	1	0	0	
PROCEDIMIENTO NOTARIAL	120	Pizarro, C. (2011). La Responsabilidad Civil de los notarios en Chile.	Básica		0	0	0	
PROCEDIMIENTO NOTARIAL	120	Leyton, C. (2005). La responsabilidad del notario. Santiago: Universidad Católica de Chile.	Complementaria		0	0	0	
TALLER II TRAMITACIÓN DIGITAL DE GESTIÓN JURÍDICA	120	Código de Procedimiento Civil.	Básica	18824-20376-19889-23711-4479-27392-15467-2139		0	0	69
TALLER II TRAMITACIÓN DIGITAL DE GESTIÓN JURÍDICA	120	Código Orgánico de Tribunales.	Básica	19898-27401-15879-2133-24375		0	0	72
TALLER II TRAMITACIÓN DIGITAL DE GESTIÓN JURÍDICA	120	Código Civil.	Básica	18545-19948-19955-19886-5191-15878-18820		1	1	81
TALLER II TRAMITACIÓN DIGITAL DE GESTIÓN JURÍDICA	120	Código Penal.	Básica	18823-6749-18521-23719-24383-27408		0	0	79
TALLER II TRAMITACIÓN DIGITAL DE GESTIÓN JURÍDICA	120	Código de Procedimiento Penal.	Básica	20378-21666-1352	20	0	0	
TALLER II TRAMITACIÓN DIGITAL DE GESTIÓN JURÍDICA	120	Ley 20.886.	Básica		0	0	0	
TALLER II TRAMITACIÓN DIGITAL DE GESTIÓN JURÍDICA	120	Guía legal sobre Tramitación electrónica de causas judiciales.	Complementaria		0	0	0	
INGLÉS II	210	UDA English Center. (2018). Material propio elaborado por académicos.	Básica		0	0	0	
INGLÉS II	210	Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	Complementaria	28320	20	0	0	
INGLÉS II	210	Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	Complementaria	28421	2	0	0	
INGLÉS II	210	McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.). Cambridge University Press.	Complementaria	28297	1	0	0	
INGLÉS II	210	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	Complementaria	26240-10050-18172	22	0	0	
INGLÉS II	210	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	Complementaria	27243	3	0	0	
INGLÉS II	210	Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	Complementaria	27242	3	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	Blanco, A. (2007). Atención al cliente. 3ª ed., Pirámide, Madrid.	Básica		0	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	Horovitz, J. (2006). Los secretos del servicio al cliente. 2ª ed., Financial Times – Prentice Hall.	Básica		0	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	Larson, W. W. (2002). Mejorar la atención al cliente. Pearson Educación, Madrid.	Básica		0	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	López, S. (2000). Recepción y Atención al Cliente. Ed. Paraninfo, Madrid.	Básica		0	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	Tschohl, J. (1994). Alcanzando la excelencia mediante el servicio al cliente. Madrid : Ediciones Díaz de Santos	Básica	1163	1	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	Coello, A. A. (Febrero de 2011). Calidad de los servicios y satisfacción del usuario. Madrid, España: Facultad de Ciencias de la Documentación. Universidad Complutense de Madrid.	Complementaria		0	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	Barlow, J. y Moller, C. (2004). Una queja es un regalo: cómo utilizar la opinión de los clientes para la mejora continua. Gestión 2000, Madrid.	Complementaria		0	0	0	
ORIENTACIÓN JURÍDICA AL USUARIO	210	Manchado, J. R. (2000). Técnicas de comunicación oral y atención al público. Centro de Tecnología Educativa, Barcelona.	Complementaria		0	0	0	
FUNDAMENTO DE DERECHO DE FAMILIA	210	Ramos, R. (2015). Derecho de Familia. 7ª edición actualizada, Santiago de Chile, Jurídica de Chile.	Básica	5330-17273	10	0	0	
FUNDAMENTO DE DERECHO DE FAMILIA	210	Troncoso, H. (2009). Derecho de Familia. 12ª edición actualizada, Santiago Chile Legal Publishing.	Básica	22013	9	0	0	
FUNDAMENTO DE DERECHO DE FAMILIA	210	Alessandri, A.; Somarriva, M. y Vodanovic, A. (1998). Tratado de derecho Civil, Parte Preliminar y General. Santiago Chile Jurídica de Chile.	Básica	22013-10495	25	0	0	
FUNDAMENTO DE DERECHO DE FAMILIA	210	Barrientos, J. (2004). Nuevo derecho matrimonial chileno. Santiago, Lexis Nexos.	Complementaria	21430	10	0	0	
FUNDAMENTOS DEL DERECHO COMERCIAL	210	Baeza, G. (1998). Derecho Comercial. Tercer volumen, Santiago Jurídica Conosur.	Básica	10687	3	0	0	
FUNDAMENTOS DEL DERECHO COMERCIAL	210	Contreras, O. (2011). Instituciones de derecho comercial. Tercera edición actualizada, Santiago Chile, Legal Publishing.	Básica	23840	6	0	0	
FUNDAMENTOS DEL DERECHO COMERCIAL	210	Puelma A.(1984). Letra de cambio y pagaré. Santiago Chile, Editorial Jurídica.	Básica	1320	6	0	0	
FUNDAMENTOS DEL DERECHO COMERCIAL	210	Sandoval, R. (1994). Código de Comercio y Leyes Complementarias. Santiago Chile, Editorial Jurídica.	Básica	1390	3	0	0	
FUNDAMENTOS DEL DERECHO COMERCIAL	210	Strauch, O. C. (2016). Instituciones De Derecho Comercial (4ta. Edición Junio 2016 ed.). Thomson Reuters.	Básica	23840	6	0	0	
FUNDAMENTOS DEL DERECHO COMERCIAL	210	Puga, J. (2005). El acto de comercio critica a la teoría tradicional, parte ., Santiago Chile editorial jurídica de Chile.	Complementaria	22017	3	0	0	
TALLER III PROCEDIMIENTOS LEGALES Y CONSTITUCIONAL.	210	Barrera, J. (1996). El procedimiento laboral en el nuevo código del trabajo. 4ª edición actualizada, Santiago de Chile, metropolitana.	Básica	8565	5	0	0	
TALLER III PROCEDIMIENTOS LEGALES Y CONSTITUCIONAL.	210	Thayer, P. Williams Novoa Patricio, 1993, Manual del derecho del trabajo, tercera edición, Santiago de Chile, jurídica de Chile.	Básica		0	0	0	
TALLER III PROCEDIMIENTOS LEGALES Y CONSTITUCIONAL.	210	MINISTERIO DE JUSTICIA (2016). Código del trabajo y leyes Complementarias. Santiago, Chile : Jurídica de Chile	Básica		0	0	0	
TALLER III PROCEDIMIENTOS LEGALES Y CONSTITUCIONAL.	210	Humeres, H. (1968). Apuntes de derecho del trabajo. 6ª edición, Santiago Chile Jurídica de Chile.	Complementaria	20385	1	0	0	
PROYECTO DE TITULACIÓN	220	Tugendhat, E., Vicuña, A. M., & López, C. (2001). El libro de Manuel y Camila: Diálogos sobre ética. Barcelona: Gedisa Editorial.	Básica		0	0	0	
PROYECTO DE TITULACIÓN	220	Muñoz, R. C. (2011). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	Básica	18904-24839	6	0	0	
PROYECTO DE TITULACIÓN	220	Ñaupas, P. H., Valdivia, D. M. R., Palacios, V. J. J., & Romero, D. H. E. (2018). Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	Complementaria	27861	9	6	1	
PROYECTO DE TITULACIÓN	220	Hernández, S. R., & Fernández, C. C. B. L. M. P. (January 01, 2010). Metodología de la investigación.	Complementaria	5098-22516-25115-25859-28759	37	1	1	
PRÁCTICA LABORAL	220	Barberá, E. (2008). El estilo e-portafolio. Barcelona: UOC.	Básica	25975	1	0	0	
PRÁCTICA LABORAL	220	Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación. Madrid: Narcea Edición.	Básica	22639	1	0	0	
PRÁCTICA LABORAL	220	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	Básica	14923	8	0	0	
PRÁCTICA LABORAL	220	Adler, R. B., Elmhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	Complementaria	20977	3	0	0	
