PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	Técnico Universitario en Minas					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Mineralogía y Petrografía 	PRIMERO	Galán, H. E., & Regueiro, G.-8. M. (2011). Mineralogía aplicada. Madrid: Síntesis	COMPLEMENTARIA	0	21573	0
Carguío y Transporte	PRIMERO	López, J. C. (2013). Manual de equipos de desescombro en túneles. Madrid: U.O. Proyectos, E.T.S.I. Minas, Universidad Politécnica de Madrid.	OBLIGATORIA	0	27690	0
Carguío y Transporte	PRIMERO	Lopez, J. C., López, J. E., & García, B. P. (2003). Manual de perforaci6n y voladura de rocas. Madrid: Carlos L6pez Jimeno.	COMPLEMENTARIA	0	19073	0
Taller I Laboratorio de Mineralogía y Petrografía 	PRIMERO	Hurlbut, C. S., & Dana, J. D. (1974). Manual de mineralogía de Dana. Barcelona: Reverté.	OBLIGATORIA	0	2518	0
Taller I Laboratorio de Mineralogía y Petrografía 	PRIMERO	Galán, H. E., & Regueiro, G.-B. M. (2011). Mineralogía aplicada. Madrid: Síntesis.	COMPLEMENTARIA	0	25573	0
Taller I Laboratorio de Mineralogía y Petrografía 	PRIMERO	E.Wm Heinrich (2000). Identificación microscópico de minerales. España.	COMPLEMENTARIA	0	10146	0
Taller I Laboratorio de Mineralogía y Petrografía 	PRIMERO	W.S.Mackenzie (1996). Atlas de rocas y minerales en láminas delgadas. Madrid.	COMPLEMENTARIA	0	22444	0
Innglés I 	SEGUNDO	UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Innglés I 	SEGUNDO	• Hill, H. (2016). Diccionario Cambridge Pocket (lQil ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0	28320	0
Innglés I 	SEGUNDO	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	28421	0
Innglés I 	SEGUNDO	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0	27276	0
Innglés I 	SEGUNDO	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	26240	0
Innglés I 	SEGUNDO	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Innglés I 	SEGUNDO	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27242	0
Ventilación y Fortificación de Minas 	SEGUNDO	Yañez, E. (1994). Ventilación de Minas.Publicación: Santiago, Chile: SERNAGEOMIN.	OBLIGATORIA	0	185	0
Ventilación y Fortificación de Minas 	SEGUNDO	Latorre, J. (1994). Fortificación de Minas. Publicación: Santiago, Chile: SERNAGEOMIN	OBLIGATORIA	0	167	0
Ventilación y Fortificación de Minas 	SEGUNDO	Codelco Chile. División El Teniente. Rancagua: [s.n.], (1988): Curso de ventilación de minas para 	COMPLEMENTARIA	0	177	0
Beneficio de Menas 	SEGUNDO	Pavéz, O. (1985). Optimización de Chancado-Molienda. Editorial Universidad de Atacama.	OBLIGATORIA	0	95	0
Beneficio de Menas 	SEGUNDO	Astorga Flores, Angel (1987). Flotación, pruebas de flotación y clasificación de relaves. Editorial Universidad de Atacama.	OBLIGATORIA	1	138	1
Beneficio de Menas 	SEGUNDO	Cáceres Arenas, Germán (1990). Hidrometalurgia y electrometalurgia. Editorial Universidad de Atacama.	OBLIGATORIA	1	366	1
Beneficio de Menas 	SEGUNDO	Astorga Flores, Angel (1990). Procesos de Chancado y Molienda. Editorial Universidad de Atacama.	COMPLEMENTARIA	1	88	1
Beneficio de Menas 	SEGUNDO	Hidrometalurgia del cobre (1990). Hidrometalurgia de Oro y Plata. Universidad del Norte.	COMPLEMENTARIA	0	335	0
Prevención de Riesgos y Medio Ambiente 	SEGUNDO	Fernández, B. P. (2013). Manual de derecho ambiental chileno: Colección tratados y manuales. Santiago de Chile: Legal Publishing.	OBLIGATORIA	0	26865	0
Prevención de Riesgos y Medio Ambiente 	SEGUNDO	González, M. R. (2003). Manual básico de prevención de riesgos laborales. Madrid, España: Thomson Paraninfo.	COMPLEMENTARIA	0	22714	0
Electromecánica y Automatización 	SEGUNDO	Castejn , O. A., & Santamara', G. (1993). Tecnología eléctrica. Madrid: McGraw-Hill.	OBLIGATORIA	0	11001	0
Electromecánica y Automatización 	SEGUNDO	Suban, P., Schmitt, M. L., & Nagores, C. G. (1983). Electricidad y electránica básicas: Conceptos y aplicaciones. México D.F: McGraw-Hill lnteramericana.	OBLIGATORIA	0	2864	0
Electromecánica y Automatización 	SEGUNDO	Creus, S. A. (2011). Neumática e hidráulica. México: AJfaomega.	OBLIGATORIA	2	22266	1
Electromecánica y Automatización 	SEGUNDO	Huidobro, V. (1993). Hidráulica, A/tazar. Santiago: Editorial Universitaria.	COMPLEMENTARIA	0	7335	0
Taller 11: Electromecánica y Automatización 	SEGUNDO	Castejn , O. A., & Santarnara', G. (1993). Tecnología eléctrica. Madrid: McGraw-Hill.	OBLIGATORIA	0	11001	0
Taller 11: Electromecánica y Automatización 	SEGUNDO	Suban, P., Schmitt, M. L., & Nagores, C. G. (1983). Electricidad y electrónica básicas: Conceptos y aplicaciones. México D.F: McGraw-Hill lnteramericana.	OBLIGATORIA	0	2864	0
Taller 11: Electromecánica y Automatización 	SEGUNDO	Creus, S. A. (2011). Neumática e hidráulica. México: Alfaomega.	OBLIGATORIA	2	22266	1
Taller 11: Electromecánica y Automatización 	SEGUNDO	Huidobro, V. (1993). Hidráulica, Altazor. Santiago: Editorial Universitaria. 	COMPLEMENTARIA	0	7335	0
Inglés II 	SEGUNDO	uDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Inglés II 	SEGUNDO	• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0	28320	0
Inglés II 	SEGUNDO	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	27074	0
Inglés II 	SEGUNDO	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0	27276	0
Inglés II 	SEGUNDO	• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	26240	0
Inglés II 	SEGUNDO	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Inglés II 	SEGUNDO	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27245	0
Métodos de Explotación 	TERCERO	Novitzky, A (1977). Minería a Cielo Abierto y su Planificación.	OBLIGATORIA	0	170	0
