PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO ASISTENTE DE GEOLOGÍA.					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Innglés I 	SEGUNDO	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	2	26240	1
Innglés I 	SEGUNDO	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27243	1
Innglés I 	SEGUNDO	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27245	1
Topografía y Cartografía 	SEGUNDO	Bannister. A., Raymond, S., Baker, R., de la Cera Alonso, J., & López, R. O. (2002). Técnicas modernas en topografía (No. 711.12/13217). /Alfaomega.	OBLIGATORIA	3	2456	1
Topografía y Cartografía 	SEGUNDO	Domínguez García Tejero, F., Thompson, M. M., Lillcsand, T. M., Kiefer, R. W., Venegas, M., Veruette, F., & Schmoock Pivaral, W. J. (2002). Topografía general y aplicada (No. 526.9 0671 2002). American Society of Photogrammetry, VI\ (EUJ\).	OBLIGATORIA	2	2403	1
Topografía y Cartografía 	SEGUNDO	Gutiérrez, C. P., & Nieto, A. L. M. (2006). Teledetección: nociones y aplicaciones. Carlos Perez.	OBLIGATORIA	0		0
Topografía y Cartografía 	SEGUNDO	Domínguez García-Tejero, F. (1998). Topografía general y aplicada. Mundi-Prensa.	COMPLEMENTARIA	2	2403	1
Topografía y Cartografía 	SEGUNDO	McCormac, J. (2008). Topografía (No. 526.9 M131t). México, MX: Limusa: Wiley.	COMPLEMENTARIA	1	2459	1
Topografía y Cartografía 	SEGUNDO	Wolf, P. R. B., Wolf, R. C. P. R., Brinker, R. C., Pasini, C. V., Domínguez García-Tejero, F., &	COMPLEMENTARIA	0		0
Topografía y Cartografía 	SEGUNDO	Romeo, C. T.'!'. R. (1996). Topografía. Mundi-Prensa.	COMPLEMENTARIA	0		0
Topografía y Cartografía 	SEGUNDO	Casanova, L. (2002). Topografía plana. Universidad de los Andes. Facultad de Ingeniería. Departamento de Vías. Venezuela.	COMPLEMENTARIA	0		0
Topografía y Cartografía 	SEGUNDO	Leonardo, C. M. (2002). Topografía Plana. Taller de Publicaciones de Ingeniería ULA. Mérida. Venezuela.	COMPLEMENTARIA	0		0
Topografía y Cartografía 	SEGUNDO	MARIA ISABEL SI LLANO· JORGE PEREZ ROJAS, DICCIONARIO DE MINERIA	COMPLEMENTARIA	0		0
Sistema de Información Geográfica 		Arcadia Peralta, E.A. (2019). LlBRO ELECTRÓNICO MULTIMEDIA PARA EL AUTOAPRENDIZAJE DE SISTEMAS DE INFORMACIÓN GEOGRÁfICA.	OBLIGATORIA	0		0
		ra, E. L., Si meón, C. P., & Navarro, J. G. M. (2006). Los sistemas de información geográfica.Geonseñanza,11, 16.	OBLIGATORIA	0		0
		Buzai, G. D., & Baxendale, C. A. (2006). Análisis socioespacia/ con sistemas de información geográfica (pp. 950-892). Lugar.	OBLIGATORIA	1	28358	1
		"Gómez Delgado, M., Cano, B., & Ignaciocoaut, J. (2006). Sistemas de Información Geográfica y evaluación multicriterio en la ordenación del territorio (No. 910.285
G65)."	OBLIGATORIA	2	28275	1
		Geográfica y evaluación multicriterio en la ordenación del territorio (No. 910.285	OBLIGATORIA	0		0
		Puebla, J. G., & Gould, M. (1994). SIC: Sistemas de información geográfica. Síntesis.	COMPLEMENTARIA	0		0
		Sendra, J. B. (1994). Sistema de información geográfica. Estudios Geográficos, 55(214), 201.	COMPLEMENTARIA	2	4025	1
Microscopía 		"Romero, T. D .. & Martínez, E. P. (2012). Propiedades básicas de petrografía óptica aplicadas a la clasificación y estudio de las rocas ígneas. Enseñanza de las Ciencias de la
Tierra, 20(2), 188."	OBLIGATORIA	0		0
