PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO AUDITOR CONTABLE Y TRIBUTARIO					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Taller 1: Desarrollo de Habilidades en la Empresa 		Abarca, N. (2004). Inteligencia emocional en el liderazgo. Santiago de Chile: Aguilar Chilena de Ediciones.	OBLIGATORIA	3	23988	1
Taller 1: Desarrollo de Habilidades en la Empresa 		Constante López, [et al.] (2006), Ética actual y profesional : lecturas para la convivencia global en el siglo XXI.México: Thomson.	OBLIGATORIA	2	22779	1
Taller 1: Desarrollo de Habilidades en la Empresa 		• Frederick, Robert E; Carril Villareal, M; González Martínez, J.L; (2001 ). La ética en los negocios: aplicación a problemas específicos en las organizaciones de negocios. México: Oxford University Press Mexico.	OBLIGATORIA	2	22780	1
Taller 1: Desarrollo de Habilidades en la Empresa 		"• Mosley, D. C., Megginson, L. C., & Pietri, P. H. (2005). Supervisión: La práctica del ""emoowermeni"", desarrollo de equipos de trabajo. México: Thomson/South-West"	OBLIGATORIA	2	22716	1
Taller 1: Desarrollo de Habilidades en la Empresa 		• Núñez, O. R. (2009). Negociación, mediación, y conciliación: Como métodos alternativos de solución de controversias. Santiago de Chile: Ediciónes Jurídicas de Santiago.	OBLIGATORIA	1	23099	1
Taller 1: Desarrollo de Habilidades en la Empresa 		• Steven, C.P., Altimira, R. (2003); Claves de Negociación ... con el corazón y la mente. McGRAW-HILL/INTERAMERICANA DE ESPAÑA, S. A. U.	OBLIGATORIA	0		0
Taller 1: Desarrollo de Habilidades en la Empresa 		"Podcast Audio. Conferencia Jacobo Muñoz. ¿ Vivimos en una sociedad post-
moral?. Fundación Juan March. 2011 (Exposición sobre la ausencia de 
estructura moral dominante en la sociedad actual y la convivencia de multitud de
morales no dominantes). "	COMPLEMENTARIA	0		0
Inglés I 		UDA English Center. (2018). Material propio elaborado por académicos. 	OBLIGATORIA	0		0
Inglés I 		"Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United
Kingdom: Cambridge University Press. "	COMPLEMENTARIA	1	11275	1
Inglés I 		• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	2	28421	1
Inglés I 		"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	1	28297	1
Inglés I 		Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	22	26240-10050-18172	1
Inglés I 		• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27243	1
Inglés I 		• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press. y prácticas. Editorial Visión Libros.	COMPLEMENTARIA	3	27242	1
