PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA "					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Sistemas Solares Térmicos		Carta, G. J. A. (2013). Centrales de energías renovables: Generación eléctrica con energías renovables. Madrid: Pearson.	OBLIGATORIA	4	27464	1
Sistemas Solares Térmicos		• Martínez, E. J. C. (2013). Manual práctico del técnico solar SST de ACS en viviendas unifamiliares. Chile: Fullservice S. A.	COMPLEMENTARIA	0	0	0
Energías Renovables 		Carta, G. J. A. (2013). Centrales de energías renovables: Generación eléctrica con energías renovables. Madrid: Pearson.	OBLIGATORIA	4	27464	1
Energías Renovables 		• Vega K. J. C., & Rarñírez, M. S. (2014). Fuentes de energía, renovables y no renovables: Aplicaciones. México, D.F: Alfaomega.	OBLIGATORIA	5	27167	1
Energías Renovables 		• Barberá, M. L. (2011). Biometanización en plantas industriales avanzadas: Generación de energía a partir de residuos sólidos urbanos. Madrid: Bellisco.	COMPLEMENTARIA	1	25550	1
Instalaciones Eléctricas II		Lagunas, M. A. (2005). Instalaciones eléctricas de baja tensión comerciales e industriales: Cálculos eléctricos y esquemas unifilares. Madrid: Paraninfo.	OBLIGATORIA	18	21608	1
Instalaciones Eléctricas II		• Enríquez, H. G. (2012). El ABC de las instalaciones eléctricas en sistemas eólicos y fotovoltáicos. México: Limusa.	OBLIGATORIA	1	996	1
Instalaciones Eléctricas II		• Guerrero Fernández, A., & Porras, C. A. (1997). Seguridad en instalaciones eléctricas. Madrid: McGraw-Hill.	COMPLEMENTARIA	1	11288	1
Taller II Eficiencia Energética 		EVO, (2010). Protocolo internacional de medida y verificación: Conceptos y opciones para determinar el ahorro de energía y agua.	OBLIGATORIA	0	0	0
Taller II Eficiencia Energética 		• Agencia chilena de eficiencia energética. Medición y Verificación. Análisis del Mercado de la Medición y Verificación en Chile por los Profesionales del Sector. Chile: ACHEE.	OBLIGATORIA	0	0	0
Taller II Eficiencia Energética 		• Agencia chilena de eficiencia energética. Medición y Verificación. Una herramienta de validación y optimización de los proyectos de Eficiencia Energética. Chile: ACHEE.	OBLIGATORIA	0	0	0
Taller II Eficiencia Energética 		• Carta, G. J. A. (2013). Centrales de energías renovables: Generación eléctrica con energías renovables. Madrid: Pearson.	COMPLEMENTARIA	4	27464	1
Inglés II 		• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	10	28320	1
