BIBLIOGRAFIA INGENIERIA COMERCIAL						
						
CARRERA:	INGENIERIA COMERCIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	PRESTAMOS 0
Microeconomía I	102	· Mochón, Francisco. “Economía, Teoría y Política”, 2005.	NO INDICA	6	22065-11334	
Microeconomía I	102	· Parkin, Michael. “Microeconomía: Versión para América Latina”, 2006.	NO INDICA	3	22061	
Microeconomía I	102	· Samuelson, Paul. “Economía”, 1984.	NO INDICA	17	1445-14434	
Contabilidad Avanzada	102	· Álvarez, Alzaga: Vega, M. “Sistema de Contabilidad”, 2009.	NO INDICA	1	22791	0
Contabilidad Avanzada	102	· Guajardo, Gerardo. “Contabilidad financiera”, 6° edición, 2014.	NO INDICA	16	10710-25351	
Contabilidad Avanzada	102	· Horngren, Charles. “Contabilidad financiera”, 7° edición, 2000.	NO INDICA	0		
Contabilidad Avanzada	102	· Horngren, Charles: Harrison, Walter: Oliver, M. Suzanne. “Contabilidad”, 2010.	NO INDICA	23	69-22200-24722	
Contabilidad Avanzada	102	· Normas internacionales de información financiera, IASB, 2006.	NO INDICA	1	22791	0
Contabilidad Avanzada	102	· Perdomo, Abraham. “Análisis e Interpretación de Estados Financieros”, 2002.	NO INDICA	16	10710-25351	
Contabilidad Avanzada	102	· Romero, Álvaro. “Contabilidad Práctica para no Contadores”, 2013.	NO INDICA	0		
Contabilidad Avanzada	102	· Torres, Gabriel. “Contabilidad: Información y Control de Empresas”, 2010.	NO INDICA	23	69-22200-24722	
Contabilidad Avanzada	102	Torres, Gabriel. “Estados Financieros”, 2001	NO INDICA	2	17683-23756	
  	102	· Cooper, Dominic: Robertson, Iván: Tinline, Gordon. “Reclutamiento y Selección: Marco de Actuación para Obtener el Éxito”, 2004.	NO INDICA	4	18922	0
Administración II	102	· Fayol, Henri. “Administración Industrial y General: Presión, Organización, Mando, Coordinación y Control”, 1995.	NO INDICA	2	1683	
Administración II	102	· Reyes, Agustín. “Administración de la Empresa: Teoría y Práctica”, 1999.	NO INDICA	7	12848	
Administración II	102	· Robbins, Stephen: DeCenzo, David. “Fundamentos de Administración: Conceptos Esenciales y Aplicaciones”, 2009.	NO INDICA	4	10710-24638	
Administración II	102	· Varela, Ricardo. “Administración de la Compensación: Sueldos, Salarios y Prestaciones”, 2006.	NO INDICA	4	19008	0
Taller de Programación	102	Cairo, Osvaldo: Guardati, Silvia. “Estructura de Datos”, 2006.	NO INDICA	3	5081-22548	
Taller de Programación	102	· Hernández, Roberto. “Estructura de Datos y Algoritmos”, 2001.	NO INDICA	2	17654	0
Taller de Programación	102	· JOYANES A., Luis, “Fundamentos de Programación. Algoritmos y Estructura de Datos”, 2ª Edición, McGraw-Hill / interamericana de España, Madrid, 1996.	NO INDICA	61	18208-11578	
Taller de Programación	102	JOYANES A., Luis, “Problemas de Metodología de la Programación”, 1ª Edición, McGraw-Hill / interamericana de España, Madrid, 1990	NO INDICA	59	7849	
Técnicas de la Comunicación	201	· Balmes, Zoila: González, Gracia. “Comunicación Escrita”, 1997.	NO INDICA	1	7584	
Técnicas de la Comunicación	201	· Cessany, Daniel. “Construir la Escritura”, 1999.	NO INDICA	11	14260	
Técnicas de la Comunicación	201	· Ender-Egg, Ezequiel: Aguilar, María. “Como Aprender a Hablar en Público”, 1994.	NO INDICA	1	10598	
Técnicas de la Comunicación	201	· Gonzáles, Antonio. “Estrategias de Comprensión Lectora”, 2004.	NO INDICA	3	22422	
Técnicas de la Comunicación	201	· Pérez, Héctor. “Comunicación Escrita: Producción e Interpretación del Discurso Escrito”, 1995.	NO INDICA	1	12301	
Estadística	201	· Briones, Guillermo. “Análisis e Interpretación de Datos”, 1992.	NO INDICA	2	2130	0
Estadística	201	· Chao, Lincoln. “Estadística para las Ciencias Administrativas”, 1993.	NO INDICA	3	823-902	
Estadística	201	· Cortés, Milton. “Estadística Aplicada”, 2001.	NO INDICA	7	16365	
Estadística	201	· Fernández, Pedro. “Métodos Estadísticos: Problema Resueltos”, 1993.	NO INDICA	1	2941	0
Estadística	201	· Miller, Irwin: Freud, John: Johnson, Richard. “Probabilidad y Estadística para Ingenieros”, 1997.	NO INDICA	3	2416	
Estadística	201	· Spiegel, Murray. “Estadística”, 1997.	NO INDICA	1	9338	0
Macroeconomía I	201	· De Juan, Rebeca: Mochón, Francisco. “Asunción. Principios de Economía: Libro de Problemas”, 2006.	NO INDICA	1	11596	
Macroeconomía I	201	· Dornbusch, Rudiger: Fischer, Stanley: Startz, Richard. “Macroeconomía”, 2009.	NO INDICA	1	11563	0
Macroeconomía I	201	· Larraín, Felipe: Sachs, Jeffrey. “Macroeconomía en la Economía Global”, 2002.	NO INDICA	16	18651-27233	
Macroeconomía I	201	· Mankiw, N. Gregory. “Principios de Economía”, 2012.	NO INDICA	11	28410-21161	
Macroeconomía I	201	· Mochón, Asunción: De Juan Rebeca. “Principios de Economía: Libro de Problemas”, 2006.	NO INDICA	1	11596	
Contabilidad de Costos	201	· Arredondo, María. “Contabilidad y Análisis de Costos”, 2012.	NO INDICA	2	22734	0
Contabilidad de Costos	201	· Cuervo, Joaquín: Osorio, Jair. “Costeo Basado en Actividades ABC: Gestión Basada en Actividades ABM”, 2006.	NO INDICA	2	20962	0
Contabilidad de Costos	201	· Horngren, Charles: Dator, Srikant: Rajon, Madhev. “Contabilidad de Costos: Un Enfoque de Gerencia”, 2012.	NO INDICA	2	81	
Contabilidad de Costos	201	· Polimeni, Ralph. “Contabilidad de costos. Conceptos y aplicaciones para la toma de decisiones gerenciales”.	NO INDICA	8	22748	
Contabilidad de Costos	201	· Vargas, Luis. “Contabilidad de Costos”, 1998.	NO INDICA	13	11471	
Metodología de la Investigación	201	· Eyssautier, Maurice. “Metodología de la Investigación”, 2001.	NO INDICA	2	19145	
Metodología de la Investigación	201	· Hernández, Roberto. “Metodología de la Investigación”, 2006.	NO INDICA	34	5098-22516-25115-25859-28759	
Metodología de la Investigación	201	· Rodríguez, Gregorio. “Metodología de la Investigación Cualitativa”, 1998.	NO INDICA	5	20908	
Metodología de la Investigación	201	· Ruiz, José. “Metodología de la Investigación Cualitativa”, 1999.	NO INDICA	4	24914	
Sistema de Información Administrativo	201	· McLeod, Raymond. “Sistema de Información Gerencial”, 2000.	NO INDICA	0		
Sistema de Información Administrativo	201	· Piattini, Mario. “Auditoria de Tecnologías y Sistemas de Información”, 2007.	NO INDICA	1	22112	0
Sistema de Información Administrativo	201	· O´Brien, James: Marakas, George. “Sistema de Información Gerencial”, 2006.	NO INDICA	1	22736	0
Sistema de Información Administrativo	201	· Daniel, Karen: Asín, Enrique. “Tecnologías en los Negocios”, 2009.	NO INDICA	1	22735	
Investigación Operativa	201	· Di Biase, Aldo. “Programación Lineal: Teorías y Aplicaciones Prácticas”, 1999.	NO INDICA	2	14801	0
Investigación Operativa	201	· Elal, David. “Programación Lineal”, 2000.	NO INDICA	9	16876	
Investigación Operativa	201	· Taha, Hemdy. “Investigación Operativa”, 2004.	NO INDICA	63	18162-11377	
Investigación Operativa	201	· Haeussler, Ernest: Richar, Paul: Wood, Richard. “Matemáticas para Administración y Economía”, 2008.	NO INDICA	5	24723+-21247	
Investigación Operativa	201	· Hillier, Mark. “Métodos Cuantitativos para la Administración”, 2008.	NO INDICA	65	24747	
Estadística Empresarial	202	· Casas, Miguel. “Ejercicios de Inferencia Estadística y Muestreo, Para Economía y Administración de Empresas”, 2006.	NO INDICA	2	22432	
Estadística Empresarial	202	· Díaz, Alfredo. “Estadística Aplicada a la Administración y a la Economía”, 2013.	NO INDICA	1	24746	
Estadística Empresarial	202	· Levine, David: Timothy, Krehbiel: Berenson, Mark. “Estadística para Administración”, 2006.	NO INDICA	3	23748	
Estadística Empresarial	202	· Levin, Richard: Rubin, David. “Estadística para la Administración y Economía”, 2004.	NO INDICA	17	24744-22431	
Estadística Empresarial	202	· Lohr, Sharon. “Muestreo: Diseño y Análisis”, 2000.	NO INDICA	1	21139	0
Estadística Empresarial	202	· Peña, Daniel. “Análisis de Series Temporales”, 2010.	NO INDICA	2	24669	0
Microeconomía II	202	· Browing, Edgar. “Microeconomía: Teoría y Aplicaciones”, 2003.	NO INDICA	5	22040	
Microeconomía II	202	· De Juan, Rebeca: Mochón, Asunción. “Principios de Economía: Libro de Problemas”, 2006.	NO INDICA	5	22040	
Microeconomía II	202	· Grave, Ana Luisa. “Microeconomía: Enfoque de Negocios”, 2006.Parkin, Michael. “Microeconomía: Versión para América Latina”, 2006.	NO INDICA	3	22061	
Microeconomía II	202	· Mankiw, N. Gregory. “Principios de Economía”, 2012.	NO INDICA	11	21161-24810	
Microeconomía II	202	· Mochón, Francisco. “Economía: Teoría y Política”, 2005.	NO INDICA	6	11334-22065	
Microeconomía II	202	· Salvatore, Dominick. “Microeconomía”, 2009.	NO INDICA	13	22435	
Proceso Industrial	202	· Coudurier, Lucie. “Fundamentos de los Procesos Metalúrgicos”, 1971.	NO INDICA	2	257	0
Proceso Industrial	202	· Instituto para la diversificación y Ahorro de la Energía; Redacción de Gasto Energético en Depuración, Bombeo y Suministro de Agua, 1989.	NO INDICA	0		
Proceso Industrial	202	· Sierra, José: Penalver, Luis. “La reutilización de las Aguas Residuales: Acondicionamiento y Uso”, 1989.	NO INDICA	1	1554	0
Inglés I	202					
Tecnologías de la Información y Comunicación	202	· Lardent, Alberto. “Sistemas de información para la gestión empresarial”, 1° Edición, Prentice Hall.	NO INDICA	0		
Legislación Laboral	301	· Ministerio de Justicia. “Código de Trabajo”, 2013.	NO INDICA	56	1383-18520-18222-17117-23716-24374-23920	
Legislación Laboral	301	· Ministerio de Justicia. “Código del Trabajo: Edición Oficial: Especial para Estudiantes”, 2012.	NO INDICA	4	23920	
Econometría	301	· Gujarati, Damodar: Porter, Dawn. “Econometría”, 5° Ed.	NO INDICA	1	436	
Econometría	301	· Murillo, Carlos: González, Beatriz. “Manual de Econometría”.				
Econometría	301	· Pearson, Eduardo. “Econometría con Aplicaciones”, Rentice Hall.	NO INDICA	0		
Econometría	301					
Econometría	301	· Wooldridge, Jeffrey. “Introducción a la Econometría”, 4° Ed.	NO INDICA	7	24730-21226	
Macroeconomía II	301	· Carbaugh, Robert. “Economía Internacional”, 2004.	NO INDICA	1	19327	0
Macroeconomía II	301	· Contreras, Hugo: Gonzáles, Leonel. “Manual de Corrección Monetaria”, 2008.	NO INDICA	4	22800	0
Macroeconomía II	301	· Dornbusch, Rudiger: Fischer, Stanley. “Macroeconomía”, 1980.	NO INDICA	1	11563	0
Macroeconomía II	301	· Garcías, José: Durán, Gemma. “Sistema Económico Mundial”, 2004.	NO INDICA	5	21238	0
Macroeconomía II	301	· Hall, Robert: Lieberman, Marc. “Macroeconomía: Principios y Aplicaciones”, 2005.	NO INDICA	5	21215	
Macroeconomía II	301	· Mochón, Francisco. “Economía, Teoría y Política”, 2005.	NO INDICA	6	11334-22065	
Macroeconomía II	301	· Mochón, Francisco. “Principios de Macroeconomía”, 2005.	NO INDICA	0		
Macroeconomía II	301	· Ossa, Fernando. “Economía Monetaria Internacional”, 2004.	NO INDICA	4	8682-19292	
Macroeconomía II	301	· Samuelson, Paul. “Economía”, 1984.	NO INDICA	17	1445-1443	
Macroeconomía II	301	· Mankiw, N. Gregory. “Principios de Economía”, 2012.	NO INDICA	11	21161-24810	
Control de Gestión	301	· Taylor, George. “Ingeniería Económica”, 1981.	NO INDICA	5	569	
Control de Gestión	301	· Riggs, James. “Ingeniería Económica”, 1990.	NO INDICA	1	1237	
Control de Gestión	301	· Sepúlveda, José: Sonder, William: Gottfried, Byron. “Ingeniería Económica”, 1985.	NO INDICA	2	1387	
Control de Gestión	301	Ingeniería económica /Anthony J. Tarquin y Leland T. Blank; traducido por CENTEC. Bogota: McGraw-Hill, 1978 	NO INDICA	11	3308	
Práctica Profesional	501					
Trabajo de Titulación II	502					
Optativo 2						
Taller de Proyectos	502	· Sapag, Nassir: Sapag, Reinaldo. “Preparación y Evaluación de Proyectos”, 2003.	NO INDICA	7	757-21628	
Taller de Proyectos	502	· Sapag, Nassir. “Proyectos de Inversión: Formulación y Evaluación”, 2011	NO INDICA	4	24740	
Responsabilidad Social Empresarial	502					
