PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022					
					
CARRERA:	TECNICO UNIVERSITARIO EN AUTOMATIZACIÓN INDUSTRIAL				
					
					
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Comprensión Oral y Escrita 	Fournier, M.C. (2004). Comunicación verbal. México: Thomson.	OBLIGATORIA	0	20870	0
PLC 	equipos e instalaciones electrotécnicas. Madrid: Paraninfo Cengage Learning.	NO INDICA 	0		0
Inglés II 	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Automatización Industrial II 	Creus Solé, A. (2011 ). Instrumentación industrial: Antonio Creus Solé (8a ed. --.), Barcelona: Marcombo	NO INDICA 	1	12892-18661-24601	
Automatización Industrial I 	Creus Solé, A. (2011 ). Instrumentación industrial: Antonio Creus Solé (8a ed. -- .). Barcelona: Marcombo.	OBLIGATORIA	1	12892-18661-24601	1
Taller II Instrumentación Industrial 	Creus Solé, A. (2011 ). Instrumentación industrial: Antonio Creus Solé (8a ed. -- .). Barcelona: Marcombo.	OBLIGATORIA	1	12892-18661-24601	1
Máquinas Eléctricas	Chapman, S. J., & Robina, C. C. (2005). Máquinas eléctricas. México: McGraw-H ill/lnteramericana.	OBLIGATORIA	2	18954	2
Matemática Aplicada 	Britton, J. R., & Bello, l. (January 01, 1986). Algebra y trigonometría contemporáneas.	OBLIGATORIA	0	8916	0
Electrotecnia 	"Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"", México, Pearson Educación."	OBLIGATORIA	0	22778-23141	0
Taller I Instrumentos de Medida 	"Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"", México, Pearson Educación."	OBLIGATORIA	0	22778-23141	0
Electrónica Industrial 	Boylestad, ROBERT L. (2009). ELECTRONICA: Teoría de circuitos y dispositivos electrónicos. México: PEARSON.	OBLIGATORIA	7	22558-22559	7
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0		0
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0		0
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	0	20977	0
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	0	20977	0
Inglés I 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	COMPLEMENTARIA	0		0
Inglés II 	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27245	0
Inglés I 	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Inglés II 	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Gestión de La Informática 	• Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	OBLIGATORIA	0	22697	0
Comprensión Oral y Escrita 	• Verderber, R. F. (1999). Comunicación oral efectiva. México: lnternational Thomson.	OBLIGATORIA	0	22706	0
Comprensión Oral y Escrita 	• Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y metacoqnitivos para comprender textos escritos: Educacion Primaria, 1er y 2o. ciclos. Madrid; Escuela Española	OBLIGATORIA	0	11626	0
Matemática Aplicada 	• Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría analítica. México: Grupo Edit. lberoamérica.	OBLIGATORIA	0	2567	0
Comunicaciones y Redes Industriales 	• Solé, A. C. (2009). Instrumentos industriales: su ajuste y calibración. Marcombo.	NO INDICA 	0	12895-28416	0
Automatización Industrial I 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	OBLIGATORIA	0	20856-21654	0
Taller II Instrumentación Industrial 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	OBLIGATORIA	0	20856-21654	0
PLC 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	NO INDICA 	0	20856-21654	0
Automatización Industrial II 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	NO INDICA 	0	20856-21654	0
Comunicaciones y Redes Industriales 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	NO INDICA 	0	20856-21654	0
Máquinas Eléctricas	"• Serway, ""Física"", vol.2, McGraw-Hill, cuarta edición, 1997"	OBLIGATORIA	0	18152	0
Máquinas Eléctricas	"• Sears & Zemansky, Young & Freedman, ""Física Universitaria Vol. 2"", Addison Wesley Longman, 1999"	OBLIGATORIA	4	22557-26672	4
Mecánica Industrial 	• Roldan, V. J. (2008)~ Neumática, hidráulica y electricidad aplicada: : física aplicada, otros fluidos. Madrid: Paraninfo Cengage Learning.	OBLIGATORIA	0	22683	0
Seguridad Eléctrica y Medio Ambiente 	• Roldán, V. J. (2005). Prontuario básico de electricidad. Madrid: Thomson-Paraninfo.	COMPLEMENTARIA	0	22782	0
Taller I Instrumentos de Medida 	• Roldán, V. J. (2005). Prontuario básico de electricidad. Madrid: Thomson-Paraninfo.	COMPLEMENTARIA	0	27782	0
Comprensión Oral y Escrita 	• Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	OBLIGATORIA	0	12042	0
Electrónica Industrial 	• Rashid, M. H. (2004). Electrónica de potencia (3a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	0	12705-18928	0
PLC 	• Pineda, S. M., & Pérez, C. J. (2008). Automatización de maniobras industriales mediante autómatas programables. México: Alfaomega.	NO INDICA 	0	21972	0
Gestión de La Informática 	• Online Training Solutions, lnc. (2004). Microsoft O/fice Word 2003 paso a paso. Madrid: McGraw-Hill, lnteramericana de España.	OBLIGATORIA	0	22688	0
Proyecto de Titulación 	• Ñaupas, P. H., Yaldivia, D.M. R., Palacios, Y. J. J., & Romero, D. H. E. (2018). Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	COMPLEMENTARIA	5	27861	5
Seguridad Eléctrica y Medio Ambiente 	• Norma NSeg.5	OBLIGATORIA	0		0
Inglés II 	• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	26240-10050-18172	0
PLC 	• Moreno, G. J. (2008). Instalaciones automatizadas en viviendas y edificios: equipos e instalaciones electrotécnicas. Madrid: Paraninfo Cengage Learning.	NO INDICA 	0	22047	0
Seguridad Eléctrica y Medio Ambiente 	• Ministerio de Economía, Fomento y Reconstrucción, Instalaciones eléctricas de consumo en baja tensión, NCh chile 4/2003	OBLIGATORIA	0		0
Taller I Instrumentos de Medida 	• Ministerio de Economía, Fomento y Reconstrucción, Instalaciones eléctricas de consumo en baja tensión, NCh chile 4/2003	OBLIGATORIA	0		0
Gestión de La Informática 	• Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	OBLIGATORIA	0	22925	0
Inglés I 	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0	28297	0
Inglés II 	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0	28297	0
Inglés I 	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	28421	0
Inglés II 	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	28421	0
Electrónica Industrial 	• Malvino, A. P. (2006). Principios de electrónica. Madrid: McGraw-Hill / lnteramericana de España.	OBLIGATORIA	0	2961-21146	0
Proyecto de Titulación 	• M uñoz, R. C. (201 1 ). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	0	18904-24839	0
Máquinas Eléctricas	"• lrwing, Kosow, ""Máquinas eléctricas y transformadores"", Prentlce Hall, 1993"	OBLIGATORIA	0	42	0
Electrotecnia 	"• lrving, J. David, John Wiley & Sons, 2006, ""Análisis básico de circuitos en ingenierfa"", México, Limusa Wiley."	OBLIGATORIA	0	19248	0
Máquinas Eléctricas	"• Kingsley, Kusko, Fitzgerald. ""Teoría y análisis de las máquinas eléctricas"", McGraw-Hill, 1990 McGraw-Hill, 1990"	OBLIGATORIA	0		0
Inglés I 	• Hill, H. (2016). Diccionario Cambridge Pocket (lQil ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0	28320	0
Inglés II 	• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0	28320	0
Proyecto de Titulación 	• Hernández, S. R., & Fernández, C. C. B. L. M. P. (January O 1, 201 O). Metodología de la investigación.	COMPLEMENTARIA	1	5098-22516-25115-25859-28759	1
Gestión de La Informática 	• Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	OBLIGATORIA	0	20743	0
Mecánica Industrial 	• Gere, J. M., & Timoshenko, S. P. (2008). Mecánica de materiales. Thomson	OBLIGATORIA	0	10703	0
Mecánica Industrial 	• Garrido, García (2006), Organización y gestión integral de mantenimiento Manual práctico para la implantación de sistemas de gestión avanzados de mantenimiento industrial, Madrid : Ediciones Díaz de Santos.	OBLIGATORIA	0	27472	0
Gestión de La Informática 	• Frye, C., & Scott, P. P. (2007). Microsoft O/fice Excel 2003 paso a paso. Madrid.	OBLIGATORIA	0	19430	0
Mecánica Industrial 	• Creus, S. A. (2011 ). Neumática e hidráulica. México: Alfaomega.	OBLIGATORIA	2	22266	2
Comunicaciones y Redes Industriales 	• Creus Solé, A. (2011 ). Instrumentación industrial: Antonio Creus Solé (8a ed. --.). Barcelona: Marcombo.	NO INDICA 	1	12892-18661-24601	1
Electrónica Industrial 	• Cogdell, J. R., Rodríguez, R. F. J., & Pérez, T. M. C. (2000). Fundamentos de electrónica. México: Pearson Educación.	OBLIGATORIA	0	17442	0
Electrotecnia 	"• Cogdell, J. R., 2000, ""Fundamentos de circuitos eléctricos"", México, Pearson Educación."	OBLIGATORIA	0	21170	0
Fundamentos Eléctricos 	"• Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"" México Pearson Educación."	OBLIGATORIA	0	22778-23141	0
Seguridad Eléctrica y Medio Ambiente 	• Asfahl, C. R., & Sanchez, G. G. (2000). Seguridad industrial y salud. México: Prentice-Hall Hispanoamericana S.A.	OBLIGATORIA	0	22777	0
Taller 111 Control Industrial 					
