PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	Técnico Universitario en Minas					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Beneficio de Menas 	SEGUNDO	Astorga Flores, Angel (1987). Flotación, pruebas de flotación y clasificación de relaves. Editorial Universidad de Atacama.	OBLIGATORIA	4	138	1
Beneficio de Menas 	SEGUNDO	Cáceres Arenas, Germán (1990). Hidrometalurgia y electrometalurgia. Editorial Universidad de Atacama.	OBLIGATORIA	4	366	1
Beneficio de Menas 	SEGUNDO	Astorga Flores, Angel (1990). Procesos de Chancado y Molienda. Editorial Universidad de Atacama.	COMPLEMENTARIA	4	88	1
Beneficio de Menas 	SEGUNDO	Hidrometalurgia del cobre (1990). Hidrometalurgia de Oro y Plata. Universidad del Norte.	COMPLEMENTARIA	3	335	1
Prevención de Riesgos y Medio Ambiente 	SEGUNDO	Fernández, B. P. (2013). Manual de derecho ambiental chileno: Colección tratados y manuales. Santiago de Chile: Legal Publishing.	OBLIGATORIA	1	26865	1
Prevención de Riesgos y Medio Ambiente 	SEGUNDO	González, M. R. (2003). Manual básico de prevención de riesgos laborales. Madrid, España: Thomson Paraninfo.	COMPLEMENTARIA	2	22714	1
Electromecánica y Automatización 	SEGUNDO	Castejn , O. A., & Santamara', G. (1993). Tecnología eléctrica. Madrid: McGraw-Hill.	OBLIGATORIA	3	11001	1
Electromecánica y Automatización 	SEGUNDO	Suban, P., Schmitt, M. L., & Nagores, C. G. (1983). Electricidad y electránica básicas: Conceptos y aplicaciones. México D.F: McGraw-Hill lnteramericana.	OBLIGATORIA	3	2864	1
Electromecánica y Automatización 	SEGUNDO	Creus, S. A. (2011). Neumática e hidráulica. México: AJfaomega.	OBLIGATORIA	3	22266	1
Electromecánica y Automatización 	SEGUNDO	Huidobro, V. (1993). Hidráulica, A/tazar. Santiago: Editorial Universitaria.	COMPLEMENTARIA	1	7335	1
Taller 11: Electromecánica y Automatización 	SEGUNDO	Castejn , O. A., & Santarnara', G. (1993). Tecnología eléctrica. Madrid: McGraw-Hill.	OBLIGATORIA	3	11001	1
Taller 11: Electromecánica y Automatización 	SEGUNDO	Suban, P., Schmitt, M. L., & Nagores, C. G. (1983). Electricidad y electrónica básicas: Conceptos y aplicaciones. México D.F: McGraw-Hill lnteramericana.	OBLIGATORIA	3	2864	1
Taller 11: Electromecánica y Automatización 	SEGUNDO	Creus, S. A. (2011). Neumática e hidráulica. México: Alfaomega.	OBLIGATORIA	3	22266	1
Taller 11: Electromecánica y Automatización 	SEGUNDO	Huidobro, V. (1993). Hidráulica, Altazor. Santiago: Editorial Universitaria. 	COMPLEMENTARIA	1	7335	1
Inglés II 	SEGUNDO	uDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Inglés II 	SEGUNDO	• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	20	28320	1
Inglés II 	SEGUNDO	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	12	27074	1
Inglés II 	SEGUNDO	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	2	27276	1
Inglés II 	SEGUNDO	• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	2	26240	1
Inglés II 	SEGUNDO	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27243	1
Inglés II 	SEGUNDO	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27245	1
Métodos de Explotación 	TERCERO	Novitzky, A (1977). Minería a Cielo Abierto y su Planificación.	OBLIGATORIA	2	170	1
Métodos de Explotación 	TERCERO	Novitzky, A (1975). Métodos de explotación subterránea y planificación de minas	COMPLEMENTARIA	2	301	1
Aplicación de Softwares Mineros 	TERCERO	Chanes, M. (2005). Manual avanzado de AutoCAD 2006. Madrid: Anaya Multimedia.	OBLIGATORIA	3	20890	1
Aplicación de Softwares Mineros 	TERCERO	"Rojo, D. (2017)""Análisis de incertidumbre en el proceso de planificación de largo plazo de Panel Caving en el Software Vulcan"""	OBLIGATORIA	1	27247	1
Aplicación de Softwares Mineros 	TERCERO	Godoy. C. (2001). Análisis, operación y aplicación del software ventsim. 	COMPLEMENTARIA	1	15843	1
Técnicas de Muestreo Minero 	TERCERO	Anderson, J. (1987). Introducción a la Topografía. México, McGraw-Hill	NO INDICA	1	2742	1
Técnicas de Muestreo Minero 	TERCERO	- Davis, R. y Foote F. ( 1971). Tratado de Topografía. Valencia, España, Ed. Aguilar.	NO INDICA	7	2393	1
Técnicas de Muestreo Minero 	TERCERO	- Valdés, D. F. (1993). Topografía. Barcelona, Ceac.	NO INDICA	1	12298	1
Técnicas de Muestreo Minero 	TERCERO	- Hidalgo, M. (1990). Topografía de interior minas. Copiapó, Chile, Universidad de Atacama.	NO INDICA	1	17936	1
Técnicas de Muestreo Minero 	TERCERO	- Ta ton, R. (1981). Minería: Topografia subterránea. Madrid, España, Paraninfo.	NO INDICA	7	163	1
Técnicas de Muestreo Minero 	TERCERO	- Wirshing, J. R. (2011). Teoría y problemas de introducción a la topografia. México, McGraw-Hill Jnteramericana.	NO INDICA	2	2534	1
Técnicas de Muestreo Minero 	TERCERO	- McCormac, J. C. (1981). Topografía. Madrid, España, Prentice/Hall Internacional.	NO INDICA	1	2459	1
