RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura
Comunicaciones y Redes Industriales 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	NO INDICA 	0
Máquinas Eléctricas	"• Serway, ""Física"", vol.2, McGraw-Hill, cuarta edición, 1997"	OBLIGATORIA	0
Mecánica Industrial 	• Roldan, V. J. (2008)~ Neumática, hidráulica y electricidad aplicada: : física aplicada, otros fluidos. Madrid: Paraninfo Cengage Learning.	OBLIGATORIA	0
Seguridad Eléctrica y Medio Ambiente 	• Roldán, V. J. (2005). Prontuario básico de electricidad. Madrid: Thomson-Paraninfo.	COMPLEMENTARIA	0
Taller I Instrumentos de Medida 	• Roldán, V. J. (2005). Prontuario básico de electricidad. Madrid: Thomson-Paraninfo.	COMPLEMENTARIA	0
Comprensión Oral y Escrita 	• Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	OBLIGATORIA	0
Electrónica Industrial 	• Rashid, M. H. (2004). Electrónica de potencia (3a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	0
PLC 	• Pineda, S. M., & Pérez, C. J. (2008). Automatización de maniobras industriales mediante autómatas programables. México: Alfaomega.	NO INDICA 	0
Gestión de La Informática 	• Online Training Solutions, lnc. (2004). Microsoft O/fice Word 2003 paso a paso. Madrid: McGraw-Hill, lnteramericana de España.	OBLIGATORIA	0
Seguridad Eléctrica y Medio Ambiente 	• Norma NSeg.5	OBLIGATORIA	0
Inglés II 	• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0
PLC 	• Moreno, G. J. (2008). Instalaciones automatizadas en viviendas y edificios: equipos e instalaciones electrotécnicas. Madrid: Paraninfo Cengage Learning.	NO INDICA 	0
Seguridad Eléctrica y Medio Ambiente 	• Ministerio de Economía, Fomento y Reconstrucción, Instalaciones eléctricas de consumo en baja tensión, NCh chile 4/2003	OBLIGATORIA	0
Taller I Instrumentos de Medida 	• Ministerio de Economía, Fomento y Reconstrucción, Instalaciones eléctricas de consumo en baja tensión, NCh chile 4/2003	OBLIGATORIA	0
Gestión de La Informática 	• Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	OBLIGATORIA	0
Inglés I 	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0
Inglés II 	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0
Inglés I 	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0
Inglés II 	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0
Electrónica Industrial 	• Malvino, A. P. (2006). Principios de electrónica. Madrid: McGraw-Hill / lnteramericana de España.	OBLIGATORIA	0
Proyecto de Titulación 	• M uñoz, R. C. (201 1 ). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	0
Máquinas Eléctricas	"• lrwing, Kosow, ""Máquinas eléctricas y transformadores"", Prentlce Hall, 1993"	OBLIGATORIA	0
Electrotecnia 	"• lrving, J. David, John Wiley & Sons, 2006, ""Análisis básico de circuitos en ingenierfa"", México, Limusa Wiley."	OBLIGATORIA	0
Máquinas Eléctricas	"• Kingsley, Kusko, Fitzgerald. ""Teoría y análisis de las máquinas eléctricas"", McGraw-Hill, 1990 McGraw-Hill, 1990"	OBLIGATORIA	0
Inglés I 	• Hill, H. (2016). Diccionario Cambridge Pocket (lQil ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0
Inglés II 	• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0
Gestión de La Informática 	• Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	OBLIGATORIA	0
Mecánica Industrial 	• Gere, J. M., & Timoshenko, S. P. (2008). Mecánica de materiales. Thomson	OBLIGATORIA	0
Mecánica Industrial 	• Garrido, García (2006), Organización y gestión integral de mantenimiento Manual práctico para la implantación de sistemas de gestión avanzados de mantenimiento industrial, Madrid : Ediciones Díaz de Santos.	OBLIGATORIA	0
Gestión de La Informática 	• Frye, C., & Scott, P. P. (2007). Microsoft O/fice Excel 2003 paso a paso. Madrid.	OBLIGATORIA	0
Electrónica Industrial 	• Cogdell, J. R., Rodríguez, R. F. J., & Pérez, T. M. C. (2000). Fundamentos de electrónica. México: Pearson Educación.	OBLIGATORIA	0
Electrotecnia 	"• Cogdell, J. R., 2000, ""Fundamentos de circuitos eléctricos"", México, Pearson Educación."	OBLIGATORIA	0
Fundamentos Eléctricos 	"• Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"" México Pearson Educación."	OBLIGATORIA	0
Seguridad Eléctrica y Medio Ambiente 	• Asfahl, C. R., & Sanchez, G. G. (2000). Seguridad industrial y salud. México: Prentice-Hall Hispanoamericana S.A.	OBLIGATORIA	0
