BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
FISICA II	102	CONCEPTOS DE FISICA  P. Hewitt Limusa.	NO INDICA	7	11927	
FISICA II	102	FISICA D.Halliday R.Resnick–K.S.Krane 1999. CECSA.	NO INDICA	106	2581	
FISICA II	102	FISICA Universitaria. Vol I. F. Sears M. Zemansky-H. Young-R. Freedman 1999 Pearson Educación.	NO INDICA	105	22557 - 26672	
QUÍMICA I	101	1. BROWN L. Theodore, LE MAY Eugene, Jr. , BURSTEN E. Bruce, “Química la Ciencia Central”, 9ª Edición, Pearson Education, México, 2004.	NO INDICA	305	2701 - 26937 - 18151 - 22562	
QUÍMICA I	101	2. RAYNER-CANHAM, Geoff, “Química Inorgánica Descriptiva”, 2ª Edición, Pearson Education, México, 2000.	NO INDICA	0		
QUÍMICA I	101	3. MOORE K. John, WOOD J. Stanitski, “El Mundo de la Química”, 2ª Edición, Addison Wesley Longman, México, 2000.	NO INDICA	32	18153	
QUÍMICA I	101	4. PETRUCCI Ralph, HARWOOD William, “Química General”, 7ª Edición, Prentice -Hall Iberia, Madrid, 1999.	NO INDICA	22	8167	0
QUÍMICA I	101	5. BROWN L. Theodore, “Química: la ciencia central”, 5ª Edición, Prentice-Hall Hispanoamericana S.A., México, 1993.	NO INDICA	305	2701 - 26937 - 18151 - 22562	
QUÍMICA I	101	6. CHANG Raymond, “Química”, 4ª Edición, McGraw-Hill, México, 1992.	NO INDICA	305	2701 - 26937 - 18151 - 22562	
QUÍMICA I	101	7. MORTIMER E. Charles, “Química”, 5ª Edición, Grupo Editorial Iberoamericana, España, 1983.	NO INDICA	19	2588	
QUÍMICA I	101	8. MOORE John, “Química”, McGraw-Hill, Bogotá, 1981.	NO INDICA	9	2423	0
QUÍMICA II	102	1. BROWN L. Theodore, LE MAY Eugene, Jr. , BURSTEN E. Bruce, “Química la Ciencia Central”, 9ª Edición, Pearson Education, México, 2004.	NO INDICA	305	2701 - 26937 - 18151 - 22562	
QUÍMICA II	102	2. RAYNER-CANHAM, Geoff, “Química Inorgánica Descriptiva”, 2ª Edición, Pearson Education, México, 2000.	NO INDICA	0		
QUÍMICA II	102	4. PETRUCCI Ralph, HARWOOD William, “Química General”, 7ª Edición, Prentice -Hall Iberia, Madrid, 1999.	NO INDICA	32		
QUÍMICA II	102	5. BROWN L. Theodore, “Química: la ciencia central”, 5ª Edición, Prentice-Hall Hispanoamericana S.A., México, 1993.	NO INDICA	305	2701 - 26937 - 18151 - 22562	
QUÍMICA II	102	6. CHANG Raymond, “Química”, 4ª Edición, McGraw-Hill, México, 1992.	NO INDICA	62	6995 - 26597-28897	
QUÍMICA II	102	7. MORTIMER E. Charles, “Química”, 5ª Edición, Grupo Editorial Iberoamericana, España, 1983.	NO INDICA	19	2588	
QUÍMICA II	102	8. MOORE John, “Química”, McGraw-Hill, Bogotá, 1981.	NO INDICA	9	2423	0
TECNICAS DE COMUNICACION	101	1. Matzlawick. Paul¿Es real la realidad?. 2002. USA.	NO INDICA	1	12196	0
