id	internalId	name	year	edition	obligatory	copies
102	0	English in Medicine: A Course in Communication Skills in Medicine	2005	0	0	0
103	0	Teaching and Learning Communication Skills in Medicine	2004	0	0	0
104	0	Communication Skills for the healthcare professional	2011	0	0	2
105	0	La Comunicación con el Paciente: habilidades emocionales para los profesionales de la salud	2014	0	0	5
106	0	La Comunicación no verbal en la Relación Médico-Paciente	2010	0	0	0
107	0	Toward Created Physician Healers: Fostering Medical Students Self-Awareness, Personal Growth and Well-Being. Academic Medicine; 74,516-520 ?	1999	0	0	0
108	0	Teoría de la Comunicación Humana: interacciones y paradojas	1997	0	0	2
109	0	Face2Face. Starter Workbook with Key	2013	0	1	10
110	0	New Headway. Beginner Student's Book	2013	0	1	10
111	0	English Pronunciation in Use Elementary: Self-Study and Classroom use	2007	0	1	12
112	0	Essential Grammar in Use: A Self-Study Reference and Practice Book for Elementary Learners of English	2015	0	1	18
113	0	Longman English Grammar Practice	1990	0	0	0
114	0	New Headway Video Beginner	2003	0	0	0
115	0	Manual Washington de Procedimientos Clínicos	2017	0	1	5
116	0	Procedimientos Clínicos de Enfermería	2014	0	1	0
117	0	Semiología Médica: Fisiopatología, Semiotecnia y Propedéutica. Enseñanza-Aprendizaje Centrada en la Persona	2013	0	0	10
118	0	Introduction to Biosocial Medicine: The Social, Phychological and Bilogical Dterminants of Human Behavior and Well-Being	2015	0	0	0
119	0	Bates Guía de Exploración Física e Historia Clínica	2013	0	0	5
120	0	Compendio de Anamnesis y Exploración Física	2014	0	0	2
121	0	Técnicas de la Comunicación y Relación de Ayuda en Ciencias de la Salud	2014	0	0	8
122	0	La Comunicación. Una Competencia Esencial para los Profesionales de la Salud	2006	0	0	2
123	0	The Medical Interview: The Three Function Approach	2014	0	0	2
124	0	McLeod Exploración Clínica	2014	0	0	5
125	0	Smith's Patient Centered Interviewing: An Evidence-Based Method	2012	0	0	0
126	0	Semiología Médica	2018	0	0	12
127	0	Code Blue: Bedside Procedures and Critical Information	2014	0	0	0
128	0	La Comunicación con el Paciente: habilidades emocionales para los profesionales de la salud	2014	0	0	5
129	0	Noguer-Balcells Exploración Clínica Práctica	2016	0	0	5
130	0	Enfermería Medicoquirúrgica Brunner y Suddarth	2016	0	0	21
131	0	Clinical Interviewing	2015	0	0	0
132	0	Bioética en Ciencias de la Salud	2013	0	1	5
133	0	Bioética al Encuentro de una Conciencia	2009	0	1	0
134	0	Procedimientos de Decisión en Etica Clínica	2007	0	1	0
135	0	Limitación del Esfuerzo Terapéutico en la Situación de Enfermedad Terminal: ¿Nos puede ayudar la Bioética a tomar decisiones? Madrid Med Pal 13(4), 174-178	2006	0	0	0
136	0	Etica a Nicómaco (Libros 1-4 y 8-10) Madrid	2010	0	0	0
137	0	El Dolor y el Sufrimiento al Final de la Vida. En Asociación de Bioética Fundamental y Clínica. La Bioética, Tarea de Humanización. Madrid. ABFYC	2007	0	0	0
138	0	Manifiesto en Defensa de la Confidencialidad y el Secreto Médico	2003	0	0	0
139	0	Los Comités de Etica Asistencial: origen, composición y método de trabajo. En Couceiro.A. (editora), Bioética para Clínicos. Madrid Triacastela, Págs 269-281	1999	0	0	0
140	0	Métodos de Etica Clínica. En: Couceiro A (Editora). Bioética para Clínicos. Madrid. Triacastela	1999	0	0	0
141	0	Limitación de Medidas de Soporte Vital: una vez instauradas ¿Por qué no retirar?. Bioética y Medicina Intensiva. Dilemas éticos en el paciente crítico. Madrid. Edikamed, 113-117	2005	0	0	0
142	0	Comentarios al Código de Etica y Deontología Médica. Pamplona. EUNSA	1992	0	0	0
143	0	Bioética en América Latina: una década en evolución. Santiago. Ediciones Universidad de Chile (material descargable sitio web publicaciones U. de Chile)	2010	0	0	0
144	0	Garantías Explícitas en Salud. Guía Clínica. Alivio del dolor por cáncer avanzado y cuidados paliativos. Santiago, Minsal	2005	0	0	0
145	0	Documento de Voluntades Anticipadas: actitud de los pacientes de atención primaria. atención Primaria, España: Aten primaria. 32(1), 1-8	2003	0	0	0
146	0	Guyton y Hall. Tratado de Fisiología Médica	2016	0	1	32
147	0	Gastrointestinal Physiology	2014	0	1	4
148	0	Endocrine Physiology	2013	0	1	0
149	0	Fisiología Médica de Ganong	2016	0	0	11
150	0	Gastrointestinal Physiology	2013	0	0	0
151	0	Fisiología	2014	0	0	18
152	0	Physiology	2014	0	0	0
153	0	Endocrine and Reproductive Physiology	2013	0	0	4
154	0	Histología y Biología Celular	2013	0	1	0
155	0	Atlas en Color y Texto de Histología	2015	0	1	15
156	0	Nuevo Atlas de Histología Normal de di Fiore	2015	0	1	0
157	0	Histología: texto y atlas. Correlación con Biología Celular y Molecular	2015	0	1	22
158	0	Principles of Neural Science	2013	0	0	5
159	0	Histología y Biología Celular: introducción a la anatomía patológica	2016	0	0	2
160	0	Junqueira's Basic Histology: Text &  Atlas (español)	2015	0	0	4
161	0	Histology and Cell Biology: Examination and Board Review	2010	0	0	0
162	0	Sobotta Histología	2013	0	0	5
163	0	Geneser Histología	2016	0	0	5
